origin,dest,count
88b2c50823fffff,88b2c5090bfffff,21.943
88b2c50823fffff,88b2c5091dfffff,10.3391
88b2c50823fffff,88b2c50955fffff,10.4206
88b2c50823fffff,88b2c556bdfffff,6.477
88b2c50825fffff,88b2c50825fffff,6.8366
88b2c50825fffff,88b2c50827fffff,16.186
88b2c50825fffff,88b2c5086dfffff,27.9897
88b2c50825fffff,88b2c50905fffff,6.6505
88b2c50825fffff,88b2c5090bfffff,216.3677
88b2c50825fffff,88b2c50929fffff,72.1729
88b2c50825fffff,88b2c50955fffff,24.8915
88b2c50825fffff,88b2c5095dfffff,6.6613
88b2c50825fffff,88b2c50b09fffff,10.5916
88b2c50825fffff,88b2c50b0bfffff,16.7164
88b2c50825fffff,88b2c50b11fffff,6.5245999999999995
88b2c50825fffff,88b2c50b17fffff,13.1105
88b2c50825fffff,88b2c50b3dfffff,14.4238
88b2c50825fffff,88b2c50b43fffff,7.8187999999999995
88b2c50825fffff,88b2c54643fffff,17.0865
88b2c50825fffff,88b2c54651fffff,17.2593
88b2c50825fffff,88b2c554d3fffff,6.6222
88b2c50825fffff,88b2c554dbfffff,10.6738
88b2c50825fffff,88b2c55693fffff,6.5648
88b2c50825fffff,88b2c556a3fffff,7.8934999999999995
88b2c50825fffff,88b2c556abfffff,9.3905
88b2c50825fffff,88b2c556bdfffff,9.2622
88b2c50827fffff,88b2c50823fffff,6.477
88b2c50827fffff,88b2c50825fffff,15.1236
88b2c50827fffff,88b2c5086dfffff,29.811500000000002
88b2c50827fffff,88b2c5090bfffff,173.4278
88b2c50827fffff,88b2c50917fffff,8.998800000000001
88b2c50827fffff,88b2c5091bfffff,6.587199999999999
88b2c50827fffff,88b2c5091dfffff,56.6536
88b2c50827fffff,88b2c50939fffff,22.1832
88b2c50827fffff,88b2c50955fffff,26.5612
88b2c50827fffff,88b2c50b0bfffff,11.958
88b2c50827fffff,88b2c50b11fffff,8.0502
88b2c50827fffff,88b2c50b17fffff,6.6508
88b2c50827fffff,88b2c50b1dfffff,9.5531
88b2c50827fffff,88b2c50b25fffff,6.5812
88b2c50827fffff,88b2c50b2dfffff,8.1964
88b2c50827fffff,88b2c50b3dfffff,8.1958
88b2c50827fffff,88b2c54643fffff,6.479900000000001
88b2c50827fffff,88b2c554d3fffff,8.5913
88b2c50827fffff,88b2c556b5fffff,8.6295
88b2c50829fffff,88b2c5095dfffff,6.4115
88b2c5082dfffff,88b2c5095dfffff,9.0985
88b2c5082dfffff,88b2c50b3dfffff,6.5214
88b2c50835fffff,88b2c5090bfffff,18.0392
88b2c50835fffff,88b2c5091dfffff,12.954
88b2c50835fffff,88b2c50939fffff,9.049700000000001
88b2c5083dfffff,88b2c5090bfffff,9.0196
88b2c50841fffff,88b2c50841fffff,9.4113
88b2c50841fffff,88b2c50843fffff,13.325
88b2c50841fffff,88b2c50845fffff,53.2032
88b2c50841fffff,88b2c5084dfffff,26.5982
88b2c50841fffff,88b2c50861fffff,9.174199999999999
88b2c50841fffff,88b2c50a65fffff,6.6983
88b2c50841fffff,88b2c50b01fffff,53.1628
88b2c50841fffff,88b2c50b09fffff,12.0757
88b2c50841fffff,88b2c50b0dfffff,14.4954
88b2c50841fffff,88b2c50b11fffff,11.954
88b2c50841fffff,88b2c50b13fffff,14.7887
88b2c50841fffff,88b2c50b15fffff,9.3185
88b2c50841fffff,88b2c50b17fffff,55.2986
88b2c50841fffff,88b2c50b21fffff,7.9895
88b2c50841fffff,88b2c50b2bfffff,20.1877
88b2c50841fffff,88b2c50b2dfffff,83.2756
88b2c50841fffff,88b2c50b39fffff,13.546100000000001
88b2c50841fffff,88b2c50b3bfffff,13.4808
88b2c50841fffff,88b2c50b3dfffff,592.4919
88b2c50841fffff,88b2c50b41fffff,9.2876
88b2c50841fffff,88b2c50b49fffff,8.0737
88b2c50841fffff,88b2c50b53fffff,8.0256
88b2c50841fffff,88b2c50b55fffff,9.4437
88b2c50841fffff,88b2c50b63fffff,8.0062
88b2c50841fffff,88b2c50b67fffff,10.687899999999999
88b2c50841fffff,88b2c519b3fffff,14.622499999999999
88b2c50841fffff,88b2c519b5fffff,26.7275
88b2c50841fffff,88b2c519bdfffff,10.6189
88b2c50841fffff,88b2c55413fffff,54.925
88b2c50841fffff,88b2c55417fffff,28.0745
88b2c50841fffff,88b2c55431fffff,17.186799999999998
88b2c50841fffff,88b2c5549dfffff,6.782500000000001
88b2c50841fffff,88b2c554c3fffff,86.937
88b2c50841fffff,88b2c554c7fffff,6.7636
88b2c50841fffff,88b2c554c9fffff,7.9792
88b2c50841fffff,88b2c554cdfffff,9.2996
88b2c50841fffff,88b2c554d1fffff,12.114
88b2c50841fffff,88b2c554d3fffff,134.7101
88b2c50841fffff,88b2c554d7fffff,12.1243
88b2c50841fffff,88b2c554dbfffff,7.9311
88b2c50841fffff,88b2c554ddfffff,6.6227
88b2c50841fffff,88b2c554e1fffff,22.6687
88b2c50841fffff,88b2c554ebfffff,44.1636
88b2c50841fffff,88b2c55693fffff,13.2228
88b2c50841fffff,88b2c556a7fffff,17.3974
88b2c50843fffff,88b2c50841fffff,19.9482
88b2c50843fffff,88b2c50845fffff,20.913999999999998
88b2c50843fffff,88b2c50849fffff,13.9073
88b2c50843fffff,88b2c5084dfffff,6.6518999999999995
88b2c50843fffff,88b2c50a27fffff,6.6106
88b2c50843fffff,88b2c50a2dfffff,6.4105
88b2c50843fffff,88b2c50b13fffff,9.3821
88b2c50843fffff,88b2c50b15fffff,7.943099999999999
88b2c50843fffff,88b2c50b17fffff,8.0909
88b2c50843fffff,88b2c50b2dfffff,17.4897
88b2c50843fffff,88b2c50b3dfffff,70.9953
88b2c50843fffff,88b2c50b53fffff,8.242
88b2c50843fffff,88b2c50b5dfffff,10.7025
88b2c50843fffff,88b2c554c3fffff,10.7575
88b2c50843fffff,88b2c554d3fffff,21.2911
88b2c50843fffff,88b2c554e1fffff,6.7636
88b2c50843fffff,88b2c554ebfffff,10.7197
88b2c50845fffff,88b2c50841fffff,10.5413
88b2c50845fffff,88b2c50845fffff,14.633899999999999
88b2c50845fffff,88b2c5084dfffff,9.8568
88b2c50845fffff,88b2c50861fffff,19.8099
88b2c50845fffff,88b2c50865fffff,9.8772
88b2c50845fffff,88b2c50a65fffff,13.2318
88b2c50845fffff,88b2c50b17fffff,45.4905
88b2c50845fffff,88b2c50b21fffff,8.139
88b2c50845fffff,88b2c50b2bfffff,14.7531
88b2c50845fffff,88b2c50b2dfffff,102.6612
88b2c50845fffff,88b2c50b35fffff,10.6831
88b2c50845fffff,88b2c50b39fffff,9.4955
88b2c50845fffff,88b2c50b3bfffff,8.0084
88b2c50845fffff,88b2c50b3dfffff,470.6766
88b2c50845fffff,88b2c50b49fffff,10.5719
88b2c50845fffff,88b2c50b53fffff,7.8719
88b2c50845fffff,88b2c519b3fffff,22.8368
88b2c50845fffff,88b2c55413fffff,69.8374
88b2c50845fffff,88b2c55417fffff,23.0416
88b2c50845fffff,88b2c55431fffff,8.0548
88b2c50845fffff,88b2c554c3fffff,73.5524
88b2c50845fffff,88b2c554c9fffff,10.7214
88b2c50845fffff,88b2c554cdfffff,14.6603
